FIELD	COUNT	DESC
Stranded_Rule_Code	1	Code for the strandedness rule used. 0 if data is unstranded, 1 if data is fr_firstStrand, 2 if data is fr_secondStrand.
READ_PAIR_OK	10771361	Number of reads or read-pairs that pass initial filters and are processed by QoRTs.
TOTAL_READ_PAIRS	14220911	Total number of reads or read-pairs found in the input file.
DROPPED_NOT_PROPER_PAIR	0	Number of reads or read-pairs dropped because the 'not proper pair' SAM flag is raised.
DROPPED_READ_FAILS_VENDOR_QC	0	Number of reads or read-pairs that have the 'failed vendor QC' SAM flag raised.
DROPPED_MARKED_NOT_VALID	0	Number of reads or read-pairs dropped because marked 'not valid'
DROPPED_CHROMS_MISMATCH	0	Number of read-pairs dropped because the paired reads align to different chromosomes
DROPPED_PAIR_STRANDS_MISMATCH	0	Number of read-pairs dropped because the paired reads align to inconsistent strands
DROPPED_IGNORED_CHROMOSOME	0	Number of reads or read-pairs dropped because they align to chromosomes marked for ignoring
DROPPED_NOT_UNIQUE_ALIGNMENT	3449550	Number of reads or read-pairs dropped because they are not uniquely aligned to single genomic locus
DROPPED_NO_ALN_BLOCKS	0	Number of reads or read-pairs dropped because they do not have any alignment blocks (despite being marked as aligned)
DROPPED_NOT_MARKED_RG	-1	Number of reads or read-pairs dropped because they are not in the correct read group (or -1 if read-group filtering is not on)
KEPT_NOT_UNIQUE_ALIGNMENT	0	Number of reads or read-pairs kept despite not being uniquely aligned.
minObservedReadLength	50	The base-pair length of the smallest read
maxObservedReadLength	50	The base-pair length of the largest read
maxLegalPhredScore	41	The largest observed PHRED score.
IS_SINGLE_END	0	0 if data is paired-ended, 1 if data is single-ended
PREALIGNMENT_READ_CT	-1	The number of reads found pre-alignment. Can be set using --seqReadCt or --rawfastq. -1 if unknown.
BENCHMARK_MinutesOnSamIteration	13.43	The number of minutes spent on the SAM iteration step.
BENCHMARK_MinutesPerMillionReads	0.94	The number of minutes per million reads spent on the SAM iteration step
BENCHMARK_MinutesPerMillionGoodReads	1.25	The number of minutes per million reads that passed the initial filtering step.
ReadPairs_AmbigGene	1238011	Number of reads or read-pairs that map to a genomic area that includes regions covered by more than one gene.
ReadPairs_UniqueGene	4622174	Number of reads or read-pairs that map to a genomic area covered by exactly one gene
ReadPairs_UniqueGene_CDS	2726733	Number of reads or read-pairs that map to a genomic area covered by exactly one gene, and intersect at least partially with the coding region of that gene.
ReadPairs_UniqueGene_UTR	1895441	Number of reads or read-pairs that map to a genomic area covered by exactly one gene, but that only cover the UTR (non-coding) regions.
ReadPairs_NoGene	4911176	Number of reads or read-pairs that are not assigned to any gene.
ReadPairs_NoGene_Intron	4226951	Number of reads or read-pairs that are not assigned to any gene, and that occur within an intronic region of one or more genes.
ReadPairs_NoGene_OneKbFromGene	94960	Number of reads or read-pairs that are not assigned to any gene, and that are within 1kb from one or more genes.
ReadPairs_NoGene_TenKbFromGene	289362	Number of reads or read-pairs that are not assigned to any gene, and that are within 10kb from one or more genes.
ReadPairs_NoGene_MiddleOfNowhere	299903	Number of reads or read-pairs that are not assigned to any gene, and that are more than 10kb from the nearest gene
Genes_Total	64252	Number of known genes
Genes_WithZeroCounts	42881	Number of genes with zero observed reads
Genes_WithNonzeroCounts	21371	Number of genes with 1 or more observed reads
InsertSizeCalc_Kept	10769899	Number of read-pairs that satisfied the filters needed to calculate insert size.
InsertSizeCalc_lt_readLen	463	Number of read pairs with insert size less than the read length
InsertSizeCalc_eq_readLen	653	Number of read pairs with insert size equal to the read length
InsertSizeCalc_readLen_to_2xreadLen	1046994	Number of read pairs with insert size greater than the read length but less than twice the read length
InsertSizeCalc_ge_2xreadLen	9721789	Number of read pairs greater than twice the read length
InsertSizeCalc_Drop_TOTAL	1462	Number of read-pairs for which insert size could not be successfully calculated
InsertSizeCalc_Drop_REASON1	0	Dropped because the forward read appears after the reverse read
InsertSizeCalc_Drop_REASON2	1462	Dropped because the paired reads have different splicing over the overlapped region
InsertSizeCalc_Drop_REASON3	0	Dropped because too many adaptor bases are aligned to the reference genome (indicating bad alignment)
AVG_GC_R1	0.4674062841853737	Average GC fraction for read 1
AVG_GC_R2	0.46644746440581264	Average GC fraction for read 2
AVG_GC	0.4669268742955932	Average GC fraction across all reads
AggregateGenes	60186	Number of aggregate genes
AggregateGenes_NoReads	39818	Number of aggregate genes with 0 observed reads
AggregateGenes_WithReads	20368	Number of aggregate genes with 1 or more observed reads
SpliceLoci	381257	Number of splice loci observed
SpliceLoci_Known	369079	Number of known splice loci
SpliceLoci_Known_NoReads	281995	Number of known splice loci with 0 observed reads
SpliceLoci_Known_FewReads	28494	Number of known splice loci with 1-3 observed reads
SpliceLoci_Known_ManyReads	58590	Number of known splice loci with 4+ observed reads
SpliceLoci_Novel	12178	Number of novel splice loci observed
SpliceLoci_Novel_FewReads	11539	Number of novel splice loci observed with 1-3 observed reads
SpliceLoci_Novel_ManyReads	639	Number of novel splice loci observed with 4+ observed reads
SpliceEvents	1312211	Number of observed splicing events (each read or read-pair that maps across a splice junction is a splice 'event')
SpliceEvents_KnownLoci	1292873	Number of splice events covering known SJ loci
SpliceEvents_KnownLociWithFewReads	52114	Number of splice events covering low-coverage known SJ loci
SpliceEvents_KnownLociWithManyReads	1240759	Number of splice events covering high-coverage known SJ loci
SpliceEvents_NovelLoci	19338	Number of splice events covering noverl SJ loci
SpliceEvents_NovelLociWithFewReads	14587	Number of splice events covering low-coverage novel SJ loci
SpliceEvents_NovelLociWithManyReads	4751	Number of splice events covering high-coverage novel SJ loci
StrandTest_frFirstStrand	5445723	Number of reads or read-pairs that match the fr_FirstStrand strandedness rule
StrandTest_frSecondStrand	129894	Number of reads or read-pairs that match the fr_secondstrand strandedness rule
StrandTest_ambig_genesFountOnBothStrands	220441	Number of reads or read-pairs where the strandedness is ambiguous due to there being genes on both strands
StrandTest_ambig_noGenes	4974440	Number of reads or read-pairs where the strandedness is ambiguous due to there being no known genes.
StrandTest_ambig_other	863	Numebr of reads or read-pairs where the strandedness is ambiguous due to other reasons
StrandTest_STRANDEDNESS_MATCHES_INFERRED	1	1 if the strandedness appears to match the strandedness mode, 0 otherwise.
NumberOfChromosomesCovered	225	Number of chromosomes with 1 or more aligned reads.
deletionLoci	15135	Number of observed deletion loci
insertionLoci	17192	Number of observed insertion loci
deletionEventCt	17794	Number of times deletions are observed in a read
insertionEventCt	21418	Number of times insertions are observed in a read
highCoverageDeletionLoci	102	Number of high-coverage deletion loci.
highCoverageInsertionLoci	106	Number of high-coverage insertion loci
PAIR_CONTAINS_DEL	17794	Number of read-pairs containing one or more deletions
PAIR_CONTAINS_INS	15617	Number of read-pairs containing one or more insertions
PAIR_CONTAINS_INS_AND_DEL	0	Number of read-pairs containing one or more insertions and deletions
PAIR_CONTAINS_INDEL	33411	Number of read-pairs containing one or more insertions or deletions
PAIR_CONTAINS_NO_INDEL	10737950	Number of read-pairs containing no indels
READ_CONTAINS_DEL_R1	17704	Number of read pairs containing a del in read 1
READ_CONTAINS_INS_R1	15556	Number of read pairs containing a ins in read 2
READ_CONTAINS_NO_INDEL_R1	10738101	Number of read pairs containing no indels in read 1
READ_CONTAINS_DEL_R2	90	Number of read pairs containing a del in read 2
READ_CONTAINS_INS_R2	61	Number of read pairs containing a ins in read 2
READ_CONTAINS_NO_INDEL_R2	10771210	Number of read pairs containing no indels in read 2
OM_noOverlap_staggered	0	Number of read-pairs with no overlap, mis-staggered such that the fwd read occurs second.
OM_noOverlap_normal	9724284	Number of read-pairs with no overlap, arranged normally
OM_overlap	1047077	Number of read-pairs with good overlap.
